name	class	size
2021-11-09_run1_26C_D3_t071	tube_tip	65
2021-11-09_run1_26C_D3_t071	tube_tip_burst	4
2021-11-16_run2_26C_A4_t020	tube_tip	60
2021-11-16_run2_26C_C6_t057	tube_tip	76
2021-11-16_run2_26C_C6_t057	tube_tip_burst	1
2021-12-03_run1_26C_A1_t059	tube_tip	17
2021-12-03_run1_26C_A1_t059	tube_tip_burst	3
2021-12-03_run2_26C_D6_t068	tube_tip	12
2021-12-03_run2_26C_D6_t068	tube_tip_bulging	13
2021-12-03_run2_26C_D6_t068	tube_tip_burst	5
2021-12-06_run2_26C_C4_t078	tube_tip	147
2021-12-06_run2_26C_C4_t078	tube_tip_burst	11
2021-12-07_run1_34C_C4_t036	tube_tip	19
2021-12-07_run1_34C_C4_t036	tube_tip_burst	1
2021-12-08_run1_26C_B6_t049	tube_tip	11
2021-12-08_run2_26C_A4_t047	tube_tip	24
2021-12-09_run2_34C_A3_t033	tube_tip	22
2021-12-09_run2_34C_A3_t033	tube_tip_burst	1
2021-12-09_run2_34C_C1_t082	tube_tip_burst	27
2021-12-09_run2_34C_C3_t004	tube_tip	4
2021-12-13_run2_34C_B3_t082	tube_tip	1
2021-12-13_run2_34C_B3_t082	tube_tip_burst	22
2021-12-15_run1_34C_D4_t034	tube_tip	7
2021-12-15_run1_34C_D4_t034	tube_tip_bulging	3
2021-12-15_run1_34C_D4_t034	tube_tip_burst	44
2021-12-15_run1_34C_D5_t036	tube_tip	13
2021-12-15_run1_34C_D5_t036	tube_tip_burst	1
2021-12-20_run1_26C_A2_t029	tube_tip	11
2021-12-20_run2_26C_D3_t052	tube_tip	103
2021-12-20_run2_26C_D3_t052	tube_tip_burst	2
2022-01-03_run1_34C_A4_t010	tube_tip	37
2022-01-03_run1_34C_A4_t010	tube_tip_burst	2
2022-01-04_run2_34C_B6_t056	tube_tip	14
2022-01-04_run2_34C_B6_t056	tube_tip_burst	13
2022-01-05_run1_26C_C5_t018	tube_tip	58
2022-01-05_run2_26C_A3_t022	tube_tip	22
2022-01-07_run1_26C_B2_t024	tube_tip	73
2022-01-10_run2_34C_A3_t023	tube_tip	38
2022-01-10_run2_34C_A3_t023	tube_tip_bulging	1
2022-01-10_run2_34C_A3_t023	tube_tip_burst	1
2022-01-11_run1_26C_B1_t012	tube_tip	35
2022-01-11_run2_26C_B5_t016	tube_tip	32
2022-01-11_run2_26C_C2_t065	tube_tip	88
2022-01-11_run2_26C_C2_t065	tube_tip_burst	1
2022-01-13_run2_34C_C1_t028	tube_tip	17
2022-01-13_run2_34C_C1_t028	tube_tip_burst	5
2022-01-19_run2_34C_C1_t079	tube_tip_burst	7
2022-01-20_run1_26C_D4_t076	tube_tip	9
2022-01-24_run1_26C_B2_t022	tube_tip	13
2022-01-24_run1_26C_B2_t022	tube_tip_burst	4
2022-01-24_run2_26C_B4_t015	tube_tip	53
2022-01-24_run2_26C_C2_t062	tube_tip	127
2022-01-24_run2_26C_C2_t062	tube_tip_burst	1
2022-01-27_run1_34C_C3_t005	tube_tip	31
2022-01-31_run1_26C_D4_t028	tube_tip	18
2022-01-31_run1_26C_D4_t028	tube_tip_burst	2
2022-02-10_run1_34C_D4_t008	tube_tip	6
2022-02-11_run2_26C_D2_t018	tube_tip	39
2022-02-14_run1_34C_A2_t070	tube_tip_burst	7
2022-02-18_run1_34C_B1_t049	tube_tip	46
2022-02-18_run1_34C_B1_t049	tube_tip_burst	13
2022-02-18_run1_34C_B4_t030	tube_tip	25
2022-02-18_run1_34C_B4_t030	tube_tip_burst	2
2022-02-18_run1_34C_B6_t066	tube_tip	7
2022-02-18_run1_34C_B6_t066	tube_tip_burst	18
2022-02-18_run2_34C_A2_t004	tube_tip	10
2022-02-18_run2_34C_D6_t023	tube_tip	12
2022-02-23_run1_26C_B2_t003	tube_tip	21
2022-02-23_run2_26C_D4_t074	tube_tip	14
2022-02-24_run1_34C_C2_t062	tube_tip	12
2022-02-24_run1_34C_C2_t062	tube_tip_burst	3
2022-02-28_run1_34C_C4_t025	tube_tip	9
2022-02-28_run1_34C_C4_t025	tube_tip_burst	1
2022-03-01_run1_26C_D6_t009	tube_tip	13
2022-03-07_run1_26C_C2_t018	tube_tip	51
2022-03-07_run2_26C_A5_t035	tube_tip	28
