name	class	size
2021-11-08_run1_34C_C1_t059	aborted	7
2021-11-08_run1_34C_C1_t059	burst	7
2021-11-08_run1_34C_C1_t059	germinated	6
2021-11-08_run1_34C_C1_t059	tube_tip	6
2021-11-08_run1_34C_C1_t059	tube_tip_burst	7
2021-11-08_run1_34C_C1_t059	ungerminated	3
2021-11-08_run1_34C_C1_t059	unknown_germinated	5
2021-11-09_run1_26C_B6_t017	germinated	36
2021-11-09_run1_26C_B6_t017	tube_tip	42
2021-11-09_run1_26C_B6_t017	ungerminated	17
2021-11-12_run1_34C_A1_t082	burst	5
2021-11-12_run1_34C_A1_t082	germinated	7
2021-11-12_run1_34C_A1_t082	tube_tip	10
2021-11-12_run1_34C_A1_t082	tube_tip_burst	4
2021-11-12_run1_34C_A1_t082	ungerminated	1
2021-11-15_run2_34C_A3_t030	aborted	21
2021-11-15_run2_34C_A3_t030	burst	5
2021-11-15_run2_34C_A3_t030	germinated	7
2021-11-15_run2_34C_A3_t030	tube_tip	8
2021-11-15_run2_34C_A3_t030	tube_tip_burst	3
2021-11-15_run2_34C_A3_t030	ungerminated	11
2021-11-15_run2_34C_A3_t030	unknown_germinated	1
2021-11-16_run2_26C_A4_t020	aborted	4
2021-11-16_run2_26C_A4_t020	germinated	61
2021-11-16_run2_26C_A4_t020	tube_tip	60
2021-11-16_run2_26C_A4_t020	ungerminated	8
2021-11-16_run2_26C_A4_t020	unknown_germinated	2
2021-11-16_run2_26C_C6_t057	aborted	1
2021-11-16_run2_26C_C6_t057	burst	2
2021-11-16_run2_26C_C6_t057	germinated	70
2021-11-16_run2_26C_C6_t057	tube_tip	76
2021-11-16_run2_26C_C6_t057	tube_tip_burst	1
2021-11-16_run2_26C_C6_t057	unknown_germinated	4
2021-11-17_run2_26C_B6_t071	germinated	17
2021-11-17_run2_26C_B6_t071	tube_tip	19
2021-11-17_run2_26C_B6_t071	unknown_germinated	1
2021-12-06_run2_26C_C4_t078	burst	13
2021-12-06_run2_26C_C4_t078	germinated	144
2021-12-06_run2_26C_C4_t078	tube_tip	147
2021-12-06_run2_26C_C4_t078	tube_tip_burst	11
2021-12-06_run2_26C_C4_t078	ungerminated	1
2021-12-06_run2_26C_C4_t078	unknown_germinated	18
2021-12-07_run1_34C_A1_t063	aborted	1
2021-12-07_run1_34C_A1_t063	burst	30
2021-12-07_run1_34C_A1_t063	germinated	13
2021-12-07_run1_34C_A1_t063	tube_tip	15
2021-12-07_run1_34C_A1_t063	tube_tip_burst	26
2021-12-07_run1_34C_A1_t063	ungerminated	2
2021-12-07_run1_34C_A1_t063	unknown_germinated	29
2021-12-08_run2_26C_A4_t047	germinated	18
2021-12-08_run2_26C_A4_t047	tube_tip	24
2021-12-08_run2_26C_A4_t047	unknown_germinated	2
2021-12-15_run1_34C_C2_t002	aborted	2
2021-12-15_run1_34C_C2_t002	ungerminated	90
2021-12-16_run2_26C_D6_t007	germinated	15
2021-12-16_run2_26C_D6_t007	tube_tip	15
2021-12-16_run2_26C_D6_t007	unknown_germinated	2
2021-12-20_run1_26C_A2_t029	germinated	12
2021-12-20_run1_26C_A2_t029	tube_tip	11
2021-12-20_run1_26C_D2_t008	germinated	12
2021-12-20_run1_26C_D2_t008	tube_tip	13
2021-12-20_run1_26C_D2_t008	ungerminated	4
2021-12-21_run2_34C_B6_t058	burst	31
2021-12-21_run2_34C_B6_t058	germinated	32
2021-12-21_run2_34C_B6_t058	tube_tip	35
2021-12-21_run2_34C_B6_t058	tube_tip_bulging	3
2021-12-21_run2_34C_B6_t058	tube_tip_burst	19
2021-12-21_run2_34C_B6_t058	unknown_germinated	48
2022-01-03_run1_34C_A5_t029	aborted	2
2022-01-03_run1_34C_A5_t029	burst	5
2022-01-03_run1_34C_A5_t029	germinated	40
2022-01-03_run1_34C_A5_t029	tube_tip	42
2022-01-03_run1_34C_A5_t029	tube_tip_burst	2
2022-01-03_run1_34C_A5_t029	unknown_germinated	5
2022-01-03_run1_34C_B2_t072	burst	20
2022-01-03_run1_34C_B2_t072	germinated	1
2022-01-03_run1_34C_B2_t072	tube_tip	1
2022-01-03_run1_34C_B2_t072	tube_tip_burst	21
2022-01-03_run1_34C_B2_t072	unknown_germinated	7
2022-01-03_run1_34C_D3_t062	burst	12
2022-01-03_run1_34C_D3_t062	germinated	3
2022-01-03_run1_34C_D3_t062	tube_tip	3
2022-01-03_run1_34C_D3_t062	tube_tip_burst	14
2022-01-03_run1_34C_D3_t062	ungerminated	1
2022-01-03_run1_34C_D3_t062	unknown_germinated	8
2022-01-04_run2_34C_B2_t001	ungerminated	20
2022-01-04_run2_34C_B6_t056	burst	17
2022-01-04_run2_34C_B6_t056	germinated	12
2022-01-04_run2_34C_B6_t056	tube_tip	14
2022-01-04_run2_34C_B6_t056	tube_tip_burst	13
2022-01-04_run2_34C_B6_t056	unknown_germinated	6
2022-01-04_run2_34C_D5_t010	aborted	8
2022-01-04_run2_34C_D5_t010	burst	7
2022-01-04_run2_34C_D5_t010	germinated	59
2022-01-04_run2_34C_D5_t010	tube_tip	54
2022-01-04_run2_34C_D5_t010	tube_tip_burst	3
2022-01-04_run2_34C_D5_t010	ungerminated	18
2022-01-04_run2_34C_D5_t010	unknown_germinated	1
2022-01-05_run1_26C_C1_t081	germinated	31
2022-01-05_run1_26C_C1_t081	tube_tip	38
2022-01-05_run1_26C_C1_t081	unknown_germinated	12
2022-01-05_run1_26C_C2_t040	germinated	13
2022-01-05_run1_26C_C2_t040	tube_tip	12
2022-01-06_run1_34C_B1_t076	burst	37
2022-01-06_run1_34C_B1_t076	tube_tip_burst	40
2022-01-06_run1_34C_B1_t076	ungerminated	2
2022-01-06_run1_34C_B1_t076	unknown_germinated	10
2022-01-06_run2_34C_D4_t059	burst	12
2022-01-06_run2_34C_D4_t059	tube_tip_burst	15
2022-01-06_run2_34C_D4_t059	ungerminated	1
2022-01-06_run2_34C_D4_t059	unknown_germinated	2
2022-01-07_run2_26C_A2_t042	germinated	15
2022-01-07_run2_26C_A2_t042	tube_tip	20
2022-01-07_run2_26C_A2_t042	ungerminated	2
2022-01-11_run2_26C_B5_t016	germinated	30
2022-01-11_run2_26C_B5_t016	tube_tip	32
2022-01-11_run2_26C_B5_t016	ungerminated	14
2022-01-12_run1_34C_A2_t039	burst	17
2022-01-12_run1_34C_A2_t039	germinated	5
2022-01-12_run1_34C_A2_t039	tube_tip	5
2022-01-12_run1_34C_A2_t039	tube_tip_burst	16
2022-01-12_run1_34C_A2_t039	ungerminated	1
2022-01-12_run1_34C_A2_t039	unknown_germinated	7
2022-01-13_run1_34C_B5_t020	aborted	1
2022-01-13_run1_34C_B5_t020	burst	47
2022-01-13_run1_34C_B5_t020	germinated	46
2022-01-13_run1_34C_B5_t020	tube_tip	46
2022-01-13_run1_34C_B5_t020	tube_tip_burst	2
2022-01-13_run1_34C_B5_t020	ungerminated	8
2022-01-13_run1_34C_B5_t020	unknown_germinated	2
2022-02-01_run1_34C_A2_t036	burst	1
2022-02-01_run1_34C_A2_t036	germinated	33
2022-02-01_run1_34C_A2_t036	tube_tip	40
2022-02-01_run1_34C_A2_t036	tube_tip_burst	1
2022-02-01_run1_34C_A2_t036	ungerminated	2
2022-02-01_run1_34C_A2_t036	unknown_germinated	10
2022-02-11_run2_26C_B3_t028	germinated	24
2022-02-11_run2_26C_B3_t028	tube_tip	22
2022-02-11_run2_26C_B3_t028	ungerminated	1
2022-02-11_run2_26C_B3_t028	unknown_germinated	4
2022-02-11_run2_26C_B4_t031	germinated	34
2022-02-11_run2_26C_B4_t031	tube_tip	31
2022-02-11_run2_26C_B4_t031	unknown_germinated	3
2022-02-14_run1_34C_C5_t020	aborted	4
2022-02-14_run1_34C_C5_t020	burst	14
2022-02-14_run1_34C_C5_t020	germinated	22
2022-02-14_run1_34C_C5_t020	tube_tip	14
2022-02-14_run1_34C_C5_t020	tube_tip_burst	1
2022-02-14_run1_34C_C5_t020	ungerminated	9
2022-02-14_run1_34C_C5_t020	unknown_germinated	2
2022-02-14_run2_34C_A1_t061	aborted	18
